S_i,S_t,S_x,S_i,S_t,S_min,period
2255,1487804794.3195548058,0.710938,2242,1487804794.2887349129,-1.645996,1.911875
3038,1487804796.2314300537,0.648926,3027,1487804796.2039451599,-1.804688,1.753275
3752,1487804797.9847049713,0.634277,3741,1487804797.9586048126,-1.550293,1.789080
4480,1487804799.7737851143,0.898438,4467,1487804799.7426400185,-2.394043,1.691040
5166,1487804801.4648249149,0.613281,5156,1487804801.4410347939,-1.503418,1.734490
5874,1487804803.1993150711,0.606934,5862,1487804803.1709351540,-1.339355,1.746315
6588,1487804804.9456300735,0.712402,6577,1487804804.9195799828,-1.604492,1.635525
7256,1487804806.5811548233,0.458008,7244,1487804806.5526051521,-1.306152,1.706040
7952,1487804808.2871949673,1.024902,7942,1487804808.2614951134,-2.000488,1.602705
8608,1487804809.8899002075,0.774902,8597,1487804809.8638000488,-1.900391,1.594250
9262,1487804811.4841499329,1.031250,9251,1487804811.4575548172,-2.128418,1.654920
9938,1487804813.1390700340,1.184082,9925,1487804813.1083049774,-2.219727,1.654920
